"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","67","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackTrue","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и телефон",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","32","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeButton","Нажать на кнопку с цифрой под полем ""Срок вклада""",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","35","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTrue","Заполнение и отправка формы на депозит на отдельной странице",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","102","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditSumSpace","Ввод пробела в поле ""Сумма""",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","52","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsOneCharFIO","Ввод на отдельной странице вклада в поле ""ФИО"" одной буквы",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","79","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditTimeSpace","Ввод в поле ""Срок"" большого числа",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","37","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsFalseFIO","Ввод на отдельной странице вклада в поле ""ФИО"" чисел и английских букв [2] Petr Petrov",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","31","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditEmptyFields","Отправка заявки на кредит с пустыми полями",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","50","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditAllowConditions","Проверка отправки заявки без галочки ""Я согласен с условиями рассмотрения заявки""",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","31","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [1] 1999999999",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","42","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackRandom","Ввод кода, Отправка заявки с вводом в поля рандомных цифр в поле дата и ввода в поле телефон [2] 1000000000",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","39","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO2","Ввод в поле ""ФИО"" большого числа знаков:",""
"broken","Wed May 24 22:14:43 GMT 2023","Wed May 24 22:14:48 GMT 2023","5787","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputFalsePhone","Ввод в поле телефона неправильного номера - все единицы",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","31","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeBig","Ввод в поле ""Срок вклада"" большое значение",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","63","","Поверка сценария: оформление расчётного счета для малого бизнеса","","tests.desktop.FourTest","businessCredit","businessCredit()",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","39","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsCheckData","Проверка данных на странице с выбором вклада и на отдельной странице вклада",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","62","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackEmpty","Отправка заявки с пустыми полями",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","169","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [1] .",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","60","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditSumBig","Ввод в поле ""Сумма"" большого числа",""
"broken","Wed May 24 22:14:43 GMT 2023","Wed May 24 22:14:48 GMT 2023","5782","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInputOneNumberPhone","Ввод одной цифры в поле телефона",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","40","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeSpace","Ввод пробела в поле ""Срок вклада""",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","49","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditPhoneOneNumber","Ввод в поле ""Мобильный телефон"" одной цифры",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","36","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseYoungBirthday","Ввод в поле ""Дата рождения"" - ""сегодняшяя дата ""-"" 2 года""",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","47","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsTimeBetween","Ввод пробела в поле ""Срок вклада"" значение ""22"" - между 20 и 24",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","34","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsEmptyField","Проверка отправления заявки с пустыми полями",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","29","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsFalseFIO","Ввод на отдельной странице вклада в поле ""ФИО"" чисел и английских букв [1] 0",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","47","","Поверка мобильного сценария: вход в личный кабинет","","tests.mobile.MobileSecondTest","cardInput","Ввод кода, Отправка заявки с вводом правильного телефона - все девятки",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","45","","Поверка мобильного сценария: оформление карты MTS CASHBACK","","tests.mobile.MobileFirstTest","cardMtsCashBackFalseData","Отправка заявки с вводом в поля по одной цифре",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","40","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseEmail","Ввод в поле ""Электронная почта"" одного символа",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","48","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditFalseFIO","Ввод в поле ""ФИО"": [2] 0",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","64","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditTrue","Отправка заявки с корректными данными",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","27","","Поверка сценария: оформление MTS CASHBACK на главной странице","","tests.desktop.FirstTest","cardMtsCashbackOneNumber","Отправка заявки с вводом в поля по одной цифре",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","28","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumSpace","Ввод пробела в поле ""Сумма вклада""",""
"broken","Wed May 24 22:14:50 GMT 2023","Wed May 24 22:14:50 GMT 2023","26","","Поверка сценария: оформление вклада","","tests.desktop.SecondTest","depositAndAccountsSumBig","Ввод в поле ""Сумма вклада"" большого числа",""
"broken","Wed May 24 22:14:49 GMT 2023","Wed May 24 22:14:49 GMT 2023","50","","Поверка сценария: оформление кредита наличными","","tests.desktop.ThirdTest","creditTimeBig","Ввод в поле ""Срок"" пробел",""
